Hour Of Day,Average Traffic Density,Average Speed,Record Count
0,0.27903633843249814,59.473670854142945,50858
1,0.2783616593955114,59.61219685375149,50886
2,0.27944160488443076,59.51289649327995,50446
3,0.2809748297287611,59.40399589755843,50214
4,0.27991150439009094,59.35223603598308,51024
5,0.2804073888823506,59.62238510650816,50982
6,0.28260291112472574,59.53998585742796,50599
7,0.2912318209748072,61.32494813383278,50451
8,0.2935793240713371,61.27370133609217,50745
9,0.2809212676691433,59.925444162565896,51007
10,0.2721514393730554,59.51679280116564,50786
11,0.27318595867671763,59.52689281334217,51206
12,0.27707309980958417,60.25282708465567,50416
13,0.2681475178414313,60.44173148890399,51145
14,0.27107497683405324,60.16978451528947,50721
15,0.26589363838849606,59.644404382400076,51182
16,0.26488159799172356,59.62186263900054,50989
17,0.28477127975608796,61.26026137474096,51166
18,0.28352056880263515,61.93566675344649,50703
19,0.271819207709203,59.44123064091654,50537
20,0.2731048485796399,59.36392603569964,51149
21,0.27447469383756223,59.47612822572746,51035
22,0.27155566334090686,59.48255526227405,50615
23,0.2724857035795287,59.50506883542057,50705
